case_id,stage,operator_minutes,machine_minutes
rs-01,protocol_revalidation,0.1,0.1
rs-01,evidence_ledger,0.1,0.1
rs-01,creative_brief,0.1,0.05
rs-01,ceiling_render,0.1,0.02
rs-01,constrained_render,0.1,0.02
rs-02,protocol_revalidation,0.1,0.1
rs-02,evidence_ledger,0.1,0.1
rs-02,creative_brief,0.1,0.05
rs-02,ceiling_render,0.1,0.02
rs-02,constrained_render,0.1,0.02
ext-01,protocol_revalidation,0.1,0.1
ext-01,evidence_ledger,0.1,0.1
ext-01,creative_brief,0.1,0.05
ext-01,ceiling_render,0.1,0.02
ext-01,constrained_render,0.1,0.02
ext-02,protocol_revalidation,0.1,0.1
ext-02,evidence_ledger,0.1,0.1
ext-02,creative_brief,0.1,0.05
ext-02,ceiling_render,0.1,0.02
ext-02,constrained_render,0.1,0.02
